clientCoordinates,API_Type,nbUsages,diversityUsages
com.github.sogyf:jfinal-app:0.0.9,javax/mail/internet/InternetAddress,4,2
com.github.sogyf:jfinal-app:0.0.9,javax/mail/internet/MimeMessage,1,1
com.github.sogyf:jfinal-app:0.0.9,javax/mail/Authenticator,2,1
com.github.sogyf:jfinal-app:0.0.9,javax/mail/BodyPart,6,1
com.github.sogyf:jfinal-app:0.0.9,javax/mail/Multipart,2,1
com.github.sogyf:jfinal-app:0.0.9,javax/mail/Part,15,1
com.github.sogyf:jfinal-app:0.0.9,javax/mail/PasswordAuthentication,1,1
com.github.sogyf:jfinal-app:0.0.9,javax/mail/Session,5,2
org.mycore:mycore-base:2018.05,javax/mail/internet/InternetAddress,4,1
org.mycore:mycore-base:2018.05,javax/mail/internet/MimeBodyPart,9,1
org.mycore:mycore-base:2018.05,javax/mail/internet/MimeMessage,9,1
org.mycore:mycore-base:2018.05,javax/mail/internet/MimeMultipart,4,1
org.mycore:mycore-base:2018.05,javax/mail/Authenticator,2,1
org.mycore:mycore-base:2018.05,javax/mail/Message$RecipientType,2,1
org.mycore:mycore-base:2018.05,javax/mail/Multipart,3,1
org.mycore:mycore-base:2018.05,javax/mail/PasswordAuthentication,1,1
org.mycore:mycore-base:2018.05,javax/mail/Session,3,1
org.mycore:mycore-base:2018.05,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.10,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.10,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.10,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.10,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.10,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.10,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.10,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.13,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.13,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.13,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.13,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.13,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.13,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.13,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.18,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.18,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.18,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.18,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.18,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.18,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.18,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.4,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.4,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.4,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.4,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.4,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.4,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.4,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.5,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.5,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.5,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.5,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.5,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.5,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.5,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.15,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.15,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.15,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.15,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.15,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.15,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.15,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.11,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.11,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.11,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.11,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.11,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.11,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.11,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.14,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.14,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.14,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.14,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.14,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.14,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.14,javax/mail/Transport,1,1
com.github.skarpushin:summerb:2.5.16,javax/mail/internet/InternetAddress,2,1
com.github.skarpushin:summerb:2.5.16,javax/mail/internet/MimeMessage,7,1
com.github.skarpushin:summerb:2.5.16,javax/mail/Authenticator,3,2
com.github.skarpushin:summerb:2.5.16,javax/mail/Message$RecipientType,1,1
com.github.skarpushin:summerb:2.5.16,javax/mail/PasswordAuthentication,2,1
com.github.skarpushin:summerb:2.5.16,javax/mail/Session,2,1
com.github.skarpushin:summerb:2.5.16,javax/mail/Transport,1,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/AddressException,2,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/InternetAddress,17,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/MimeBodyPart,14,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/MimeMessage,28,2
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/MimeMultipart,15,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/MimePart,4,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/internet/MimeUtility,1,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/BodyPart,1,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/Message$RecipientType,9,1
org.springframework:spring-context-support:3.2.14.RELEASE,javax/mail/MessagingException,2,1
